iter	Passed	Remaining
0	0	96
1	1	91
2	2	86
3	3	78
4	4	76
5	4	76
6	5	73
7	6	72
8	7	72
9	7	71
10	8	70
11	9	69
12	10	69
13	11	68
14	11	67
15	12	66
16	13	65
17	14	65
18	15	64
19	15	63
20	16	62
21	17	61
22	18	60
23	19	60
24	20	61
25	21	60
26	22	59
27	22	58
28	23	57
29	24	57
30	25	56
31	26	55
32	26	54
33	27	53
34	28	52
35	29	52
36	30	51
37	30	50
38	31	49
39	32	48
40	33	47
41	33	46
42	34	45
43	35	44
44	36	44
45	36	43
46	37	42
47	38	41
48	39	40
49	39	39
50	40	39
51	41	38
52	42	37
53	43	36
54	43	35
55	44	34
56	45	34
57	45	33
58	46	32
59	47	31
60	48	31
61	49	30
62	50	29
63	51	28
64	51	27
65	52	27
66	53	26
67	54	25
68	54	24
69	55	23
70	56	23
71	57	22
72	58	21
73	59	20
74	59	19
75	60	19
76	61	18
77	62	17
78	63	16
79	63	15
80	64	15
81	65	14
82	66	13
83	66	12
84	67	11
85	68	11
86	69	10
87	70	9
88	70	8
89	71	7
90	72	7
91	73	6
92	74	5
93	75	4
94	76	4
95	77	3
96	77	2
97	78	1
98	79	0
99	80	0
